doi,year,Physics,Chemistry,Biology,Geology,Surface,Deep ocean,Beach/Coast,Estuary/Lagoon/Mangrove,Sediment/Benthic,General marine,Diagnosis,Mitigation,Adaptation,journal,volume,issue,pages
10.1007/s12237-025-01573-6,2024,False,True,False,False,False,False,True,False,False,True,True,True,False,ESTUARIES AND COASTS,48,5,
10.1016/j.aquatox.2025.107456,2024,False,True,True,False,False,False,False,True,True,True,True,False,False,AQUATIC TOXICOLOGY,286,,
10.1016/j.marenvres.2025.107288,2024,False,False,True,False,False,False,True,False,False,True,True,True,False,MARINE ENVIRONMENTAL RESEARCH,210,,
10.1007/s00300-025-03399-1,2024,False,False,False,False,False,False,True,False,False,True,True,False,False,POLAR BIOLOGY,48,3,
10.1007/s11270-025-08220-7,2024,False,True,True,True,False,False,False,False,True,True,True,False,False,WATER AIR AND SOIL POLLUTION,236,9,
10.1016/j.aquatox.2025.107394,2024,False,True,True,False,False,False,False,False,False,False,True,False,False,AQUATIC TOXICOLOGY,286,,
10.1016/j.rsma.2025.104228,2024,False,True,True,True,True,False,True,False,False,True,True,False,False,REGIONAL STUDIES IN MARINE SCIENCE,86,,
10.1016/j.marenvres.2025.107259,2024,False,True,True,False,True,False,False,False,False,False,True,True,False,MARINE ENVIRONMENTAL RESEARCH,210,,
10.1016/j.marenvres.2025.107268,2024,False,False,True,False,False,False,False,False,False,False,True,False,False,MARINE ENVIRONMENTAL RESEARCH,210,,
10.1016/j.marpolbul.2025.118224,2024,False,False,False,True,False,False,True,False,True,True,True,False,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118223,2024,False,False,False,True,True,False,False,False,True,False,False,False,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118138,2024,False,True,True,False,False,False,False,True,False,False,False,True,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118191,2024,True,False,True,False,False,False,True,False,False,True,False,False,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118227,2024,True,True,False,False,False,False,False,False,False,True,True,True,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118221,2024,False,True,False,True,False,False,True,True,True,True,True,False,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118211,2024,False,True,True,False,False,False,True,False,False,True,True,True,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118153,2024,True,True,True,False,False,False,False,False,False,False,True,False,False,MARINE POLLUTION BULLETIN,218,,
10.1007/s11270-025-08190-w,2024,False,True,True,True,True,False,True,True,True,True,True,False,False,WATER AIR AND SOIL POLLUTION,236,9,
10.1016/j.apr.2025.102585,2024,False,True,True,False,True,False,False,False,False,False,True,True,False,ATMOSPHERIC POLLUTION RESEARCH,16,9,
10.1016/j.marpolbul.2025.118182,2024,False,False,False,True,False,False,True,False,True,True,True,True,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.envres.2025.121887,2024,True,False,True,False,False,False,False,False,False,True,True,False,False,ENVIRONMENTAL RESEARCH,280,,
10.1016/j.marpolbul.2025.118194,2024,False,True,False,False,False,False,False,False,False,True,True,True,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118156,2024,True,True,True,True,False,False,True,False,True,True,True,False,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118208,2024,True,False,False,True,True,False,False,False,True,True,True,False,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118204,2024,False,False,True,False,False,False,False,False,False,True,True,True,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.watres.2025.123860,2024,True,True,True,False,False,False,False,False,False,True,True,False,False,WATER RESEARCH,283,,
10.1016/j.marpolbul.2025.118160,2024,False,False,False,True,True,False,False,False,True,True,True,False,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118144,2024,False,True,True,False,False,False,False,False,False,True,True,True,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpol.2025.106772,2024,True,True,True,True,False,False,True,False,True,True,True,True,True,MARINE POLICY,179,,
10.1016/j.envpol.2025.126518,2024,True,True,False,False,False,False,True,False,False,True,True,False,False,ENVIRONMENTAL POLLUTION,379,,
10.1016/j.jhazmat.2025.138766,2024,True,True,False,False,False,False,False,False,False,True,True,True,False,JOURNAL OF HAZARDOUS MATERIALS,494,,
10.1016/j.jhazmat.2025.138797,2024,False,False,True,False,False,False,True,False,False,True,True,True,False,JOURNAL OF HAZARDOUS MATERIALS,494,,
10.1016/j.envres.2025.121916,2024,False,False,False,False,False,False,True,False,False,True,True,False,False,ENVIRONMENTAL RESEARCH,279,,
10.1016/j.jhazmat.2025.138699,2024,False,False,True,True,False,False,False,False,False,True,True,True,False,JOURNAL OF HAZARDOUS MATERIALS,494,,
10.1016/j.envres.2025.121763,2024,True,True,False,False,False,False,False,False,False,True,True,False,False,ENVIRONMENTAL RESEARCH,279,,
10.1016/j.jhazmat.2025.138692,2024,False,False,True,False,False,False,False,False,False,True,True,True,False,JOURNAL OF HAZARDOUS MATERIALS,494,,
10.1016/j.envres.2025.121799,2024,True,False,True,False,True,False,True,False,False,True,True,True,False,ENVIRONMENTAL RESEARCH,279,,
10.1016/j.jhazmat.2025.138528,2024,False,False,True,False,False,False,True,False,False,True,True,False,False,JOURNAL OF HAZARDOUS MATERIALS,494,,
10.1016/j.scitotenv.2025.179879,2024,False,True,False,False,False,False,False,False,False,False,True,False,False,The Science of the total environment,989,,179879
10.1016/j.jhazmat.2025.138367,2024,True,True,True,False,True,False,False,False,False,True,True,False,False,JOURNAL OF HAZARDOUS MATERIALS,493,,
10.1016/j.marpolbul.2025.118133,2024,False,False,True,False,False,False,False,True,False,True,True,False,False,MARINE POLLUTION BULLETIN,217,,
10.1007/s11270-025-08138-0,2024,False,True,True,False,False,False,False,False,False,True,False,True,False,WATER AIR AND SOIL POLLUTION,236,8,
10.1016/j.cocis.2025.101934,2024,True,True,True,True,True,False,False,False,False,True,True,False,False,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,78,,
10.1016/j.envint.2025.109587,2024,False,False,True,False,False,False,False,False,False,True,True,False,False,ENVIRONMENT INTERNATIONAL,202,,
10.1007/s11273-025-10062-3,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,WETLANDS ECOLOGY AND MANAGEMENT,33,4,
10.1016/j.hazadv.2025.100780,2024,False,True,False,False,False,False,False,False,False,True,False,True,False,JOURNAL OF HAZARDOUS MATERIALS ADVANCES,19,,
10.1016/j.hazadv.2025.100779,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,JOURNAL OF HAZARDOUS MATERIALS ADVANCES,19,,
10.1016/j.jwpe.2025.108101,2024,False,False,False,False,False,False,True,False,False,True,False,True,False,JOURNAL OF WATER PROCESS ENGINEERING,76,,
10.1016/j.wasman.2025.114930,2024,True,False,True,True,False,False,False,False,False,True,True,False,True,WASTE MANAGEMENT,204,,
10.1016/j.scitotenv.2025.179772,2024,True,False,False,False,False,False,True,False,False,True,True,True,False,The Science of the total environment,988,,179772
10.1016/j.scitotenv.2025.179819,2024,False,False,False,False,False,False,False,False,False,True,True,True,False,The Science of the total environment,988,,179819
10.1007/s11270-025-08176-8,2024,False,False,True,False,True,False,False,False,False,True,True,False,False,WATER AIR AND SOIL POLLUTION,236,8,
10.1016/j.envpol.2025.126478,2024,True,False,False,False,False,False,True,True,False,True,True,False,False,ENVIRONMENTAL POLLUTION,378,,
10.1016/j.envpol.2025.126480,2024,False,False,True,False,False,False,True,False,False,True,True,False,False,ENVIRONMENTAL POLLUTION,378,,
10.1016/j.eti.2025.104252,2024,True,False,True,True,False,False,False,False,True,True,True,False,False,ENVIRONMENTAL TECHNOLOGY & INNOVATION,39,,
10.1007/s41742-025-00798-4,2024,False,True,True,True,True,False,True,False,True,True,True,True,False,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,19,4,
10.1016/j.marpolbul.2025.118049,2024,True,False,False,True,False,False,True,False,True,False,True,False,False,MARINE POLLUTION BULLETIN,217,,
10.1007/s11270-025-08092-x,2024,False,False,True,False,False,False,False,False,False,True,False,True,False,WATER AIR AND SOIL POLLUTION,236,8,
10.1016/j.kjs.2025.100395,2024,False,True,True,True,True,False,True,False,True,True,True,False,False,KUWAIT JOURNAL OF SCIENCE,52,3,
10.1016/j.envpol.2025.126468,2024,False,True,True,True,False,False,True,False,False,True,True,False,False,ENVIRONMENTAL POLLUTION,377,,
10.1016/j.chemosphere.2025.144559,2024,False,True,False,True,False,False,True,True,True,True,False,False,False,Chemosphere,385,,144559
10.1186/s40793-025-00747-w,2024,False,True,False,True,False,False,True,False,True,True,True,True,False,ENVIRONMENTAL MICROBIOME,20,1,
10.1016/j.marpolbul.2025.118345,2024,False,True,False,False,False,False,True,False,False,False,True,True,False,Marine pollution bulletin,220,,118345
10.1016/j.envpol.2025.126788,2024,False,False,False,False,False,False,False,False,False,True,False,True,False,"Environmental pollution (Barking, Essex : 1987)",,,126788
10.1016/j.marpolbul.2025.118306,2024,False,False,True,False,False,False,False,False,False,True,False,False,False,Marine pollution bulletin,220,,118306
10.1016/j.marpolbul.2025.118401,2024,False,True,False,False,True,False,False,False,False,True,True,True,False,Marine pollution bulletin,220,,118401
10.1016/j.ygeno.2025.111080,2024,False,False,True,False,True,False,False,False,False,False,True,True,False,Genomics,,,111080
10.1016/j.cbpb.2025.111124,2024,False,True,True,False,False,False,False,False,False,True,True,True,False,"Comparative biochemistry and physiology. Part B, Biochemistry &",279,,111124
10.1007/s10661-025-14316-8,2024,True,True,True,True,False,False,False,False,False,True,True,False,False,ENVIRONMENTAL MONITORING AND ASSESSMENT,197,8,
10.1007/s10646-025-02930-8,2024,True,False,True,True,True,False,False,False,True,False,True,True,False,ECOTOXICOLOGY,,,
10.1021/envhealth.5c00035,2024,True,False,False,True,True,True,False,False,True,True,True,False,False,ENVIRONMENT & HEALTH,,,
10.1007/s10661-025-14328-4,2024,False,True,False,False,False,False,True,False,False,True,False,True,True,ENVIRONMENTAL MONITORING AND ASSESSMENT,197,8,
10.1680/jenge.24.00159,2024,True,False,False,False,True,False,False,False,False,True,True,False,False,ENVIRONMENTAL GEOTECHNICS,,,
10.1016/j.envpol.2025.126772,2024,False,True,False,True,False,False,False,False,False,True,True,False,False,"Environmental pollution (Barking, Essex : 1987)",,,126772
10.1007/s10965-025-04473-2,2024,True,False,False,True,False,False,False,False,False,False,True,False,False,JOURNAL OF POLYMER RESEARCH,32,7,
10.1016/j.marpolbul.2025.118365,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,Marine pollution bulletin,220,,118365
10.1016/j.marpolbul.2025.118378,2024,True,False,True,False,False,False,False,False,False,True,True,False,False,Marine pollution bulletin,220,,118378
10.1038/s41598-025-06115-5,2024,True,True,False,True,True,False,True,False,True,True,True,False,False,SCIENTIFIC REPORTS,15,1,
10.1038/s41598-025-06033-6,2024,False,True,True,False,False,False,True,False,False,True,True,True,False,SCIENTIFIC REPORTS,15,1,
10.1021/acs.est.5c04795,2024,True,False,False,False,False,False,False,False,False,False,True,True,False,ENVIRONMENTAL SCIENCE & TECHNOLOGY,,,
10.1007/s10646-025-02909-5,2024,False,False,True,False,False,False,True,False,False,True,False,False,False,ECOTOXICOLOGY,,,
10.1016/j.marpolbul.2025.118353,2024,True,False,False,False,False,False,True,False,False,False,True,True,False,Marine pollution bulletin,220,,118353
10.1016/j.marpolbul.2025.118364,2024,False,True,False,False,False,False,False,False,False,True,True,False,False,Marine pollution bulletin,220,,118364
10.1134/S1995082924600042,2024,True,False,True,False,False,False,False,False,False,True,True,False,False,INLAND WATER BIOLOGY,,,
10.1038/s41586-025-09218-1,2024,False,False,True,False,False,False,True,False,False,True,False,False,False,Nature,643,8071,412
10.1016/j.aquatox.2025.107381,2024,False,True,True,False,False,False,True,False,False,True,True,True,False,AQUATIC TOXICOLOGY,284,,
10.1016/j.jconhyd.2025.104575,2024,False,False,True,True,False,False,False,False,False,False,True,True,False,JOURNAL OF CONTAMINANT HYDROLOGY,273,,
10.1038/s41598-025-02893-0,2024,False,False,True,False,False,False,False,False,False,True,True,False,False,SCIENTIFIC REPORTS,15,1,
10.1002/wer.70132,2024,False,True,True,False,False,False,False,False,False,False,True,True,False,Water environment research : a research publication of the Water,97,7,e70132
10.1038/s41598-025-05352-y,2024,False,True,True,True,True,False,True,True,True,False,True,True,False,SCIENTIFIC REPORTS,15,1,
10.1038/s41598-025-06072-z,2024,False,False,True,False,False,False,False,False,False,True,True,False,False,SCIENTIFIC REPORTS,15,1,
10.1039/d5an00358j,2024,True,True,True,False,False,False,True,True,False,True,True,False,False,ANALYST,,,
10.1161/JAHA.124.039891,2024,True,True,False,False,True,False,True,False,False,True,True,False,False,JOURNAL OF THE AMERICAN HEART ASSOCIATION,14,13,
10.1007/s41207-025-00853-8,2024,False,False,True,True,False,False,False,False,True,True,True,False,False,EURO-MEDITERRANEAN JOURNAL FOR ENVIRONMENTAL INTEGRATION,,,
10.1016/j.scitotenv.2025.179985,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,The Science of the total environment,993,,179985
10.1007/s11270-025-08080-1,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,WATER AIR AND SOIL POLLUTION,236,7,
10.1016/j.jconhyd.2025.104620,2024,False,True,True,False,False,False,False,False,False,True,True,True,False,JOURNAL OF CONTAMINANT HYDROLOGY,273,,
10.1016/j.jenvman.2025.125989,2024,False,True,False,False,True,False,False,False,False,True,True,False,False,JOURNAL OF ENVIRONMENTAL MANAGEMENT,388,,
10.1007/s11270-025-08063-2,2024,False,True,True,False,False,False,True,False,False,True,True,False,False,WATER AIR AND SOIL POLLUTION,236,7,
10.1016/j.ecoenv.2025.118377,2024,False,True,True,False,False,False,True,False,False,False,True,False,False,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,299,,
10.1016/j.envpol.2025.126430,2024,False,True,False,False,False,True,False,False,False,True,True,True,False,ENVIRONMENTAL POLLUTION,376,,
10.1016/j.marpolbul.2025.117948,2024,False,True,True,True,True,True,False,False,False,True,False,False,False,MARINE POLLUTION BULLETIN,216,,
10.1016/j.aquatox.2025.107475,2024,False,True,True,False,False,False,True,False,False,True,True,True,False,"Aquatic toxicology (Amsterdam, Netherlands)",286,,107475
10.1007/s10661-025-14263-4,2024,False,True,True,False,False,False,False,False,False,False,False,False,False,ENVIRONMENTAL MONITORING AND ASSESSMENT,197,7,
10.1002/aenm.202502368,2024,True,True,False,True,False,False,True,True,True,False,True,False,False,ADVANCED ENERGY MATERIALS,,,
10.1016/j.jhazmat.2025.139094,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,Journal of hazardous materials,495,,139094
10.1080/09593330.2025.2522477,2024,False,False,True,False,False,False,False,False,False,True,False,False,False,ENVIRONMENTAL TECHNOLOGY,,,
10.1016/j.scitotenv.2025.179950,2024,True,True,False,False,False,False,False,False,False,True,False,True,False,The Science of the total environment,992,,179950
10.1039/d5em00251f,2024,False,False,False,True,False,False,False,False,True,True,False,True,False,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,,,
10.1002/ldr.70028,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,LAND DEGRADATION & DEVELOPMENT,,,
10.1016/j.scitotenv.2025.179644,2024,False,True,True,True,False,False,True,False,True,True,True,True,False,The Science of the total environment,983,,179644
10.1016/j.watres.2025.124104,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,Water research,285,,124104
10.1016/j.marenvres.2025.107304,2024,False,False,True,True,False,False,True,True,True,True,True,True,False,Marine environmental research,210,,107304
10.1021/acs.est.5c02570,2024,False,False,True,False,False,False,False,False,False,False,True,False,False,ENVIRONMENTAL SCIENCE & TECHNOLOGY,59,26,13192
10.1007/s41207-025-00849-4,2024,False,True,True,True,False,True,False,False,True,True,True,True,False,EURO-MEDITERRANEAN JOURNAL FOR ENVIRONMENTAL INTEGRATION,,,
10.1002/jrs.70007,2024,True,True,True,False,True,False,False,False,False,True,True,False,False,JOURNAL OF RAMAN SPECTROSCOPY,,,
10.1021/acsestwater.5c00299,2024,False,True,True,False,False,False,False,False,False,True,True,True,False,ACS ES&T WATER,,,
10.1186/s12302-025-01125-6,2024,True,False,False,False,False,False,False,False,False,False,True,False,False,ENVIRONMENTAL SCIENCES EUROPE,37,1,
10.1002/advs.202507355,2024,True,True,True,False,True,False,False,False,False,False,True,True,False,ADVANCED SCIENCE,,,
10.1016/j.colsurfa.2025.136674,2024,False,False,True,False,False,False,False,False,False,False,True,True,False,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,715,,
10.1093/biolre/ioaf121,2024,True,True,False,False,False,False,False,False,False,False,True,False,False,BIOLOGY OF REPRODUCTION,,,
10.3390/su17125664,2024,False,True,False,False,False,False,False,False,False,True,True,True,False,SUSTAINABILITY,17,12,
10.5194/essd-17-2761-2025,2024,False,False,True,False,False,False,True,False,False,True,True,False,False,EARTH SYSTEM SCIENCE DATA,17,6,2761
10.1007/s11368-025-04065-z,2024,False,True,True,False,True,False,False,False,False,False,True,False,False,JOURNAL OF SOILS AND SEDIMENTS,,,
10.3389/fenvs.2025.1606332,2024,False,True,True,False,False,False,False,False,False,False,True,False,False,FRONTIERS IN ENVIRONMENTAL SCIENCE,13,,
10.1021/acs.est.4c13931,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,ENVIRONMENTAL SCIENCE & TECHNOLOGY,59,25,12485
10.3389/fmars.2025.1607436,2024,True,True,True,True,False,False,True,True,True,True,True,True,False,FRONTIERS IN MARINE SCIENCE,12,,
10.1007/s10661-025-14225-w,2024,True,False,True,True,False,False,False,False,True,True,True,False,False,ENVIRONMENTAL MONITORING AND ASSESSMENT,197,7,
10.3390/polym17121679,2024,True,True,True,False,False,False,False,False,False,True,True,True,False,POLYMERS,17,12,
10.1007/s10661-025-14199-9,2024,False,True,True,False,False,True,False,False,False,True,False,False,False,ENVIRONMENTAL MONITORING AND ASSESSMENT,197,7,
10.1186/s12989-025-00632-x,2024,False,True,False,False,False,False,False,False,False,True,False,False,False,PARTICLE AND FIBRE TOXICOLOGY,22,1,
10.3389/fmars.2025.1586918,2024,True,False,False,False,False,False,False,False,False,True,False,True,False,FRONTIERS IN MARINE SCIENCE,12,,
10.1021/acsestwater.4c01144,2024,True,False,False,False,False,False,False,False,False,True,True,True,False,ACS ES&T WATER,,,
10.3390/toxics13060502,2024,True,False,False,False,False,True,False,False,False,True,True,False,False,TOXICS,13,6,
10.5194/wes-10-1123-2025,2024,True,True,True,True,False,False,True,False,True,True,True,False,False,WIND ENERGY SCIENCE,10,6,1123
10.1021/acs.est.5c05723,2024,True,False,True,False,False,False,False,False,False,True,True,True,False,ENVIRONMENTAL SCIENCE & TECHNOLOGY,59,24,12145
10.3390/jmse13061159,2024,False,False,False,False,False,False,True,False,False,True,False,True,False,JOURNAL OF MARINE SCIENCE AND ENGINEERING,13,6,
10.3390/microplastics4020032,2024,True,True,False,False,False,False,False,False,False,True,True,True,False,MICROPLASTICS,4,2,
10.7717/peerj.19518,2024,True,False,False,True,False,False,True,False,True,True,True,False,False,PEERJ,13,,
10.1186/s40643-025-00902-8,2024,False,False,False,False,True,False,True,True,False,True,True,False,False,BIORESOURCES AND BIOPROCESSING,12,1,
10.1016/j.scitotenv.2025.179539,2024,False,True,False,False,False,False,True,True,False,False,True,True,False,The Science of the total environment,980,,179539
10.3390/w17121741,2024,False,True,True,False,False,False,False,False,False,True,True,True,False,WATER,17,12,
10.1128/spectrum.00181-25,2024,False,False,True,True,True,False,True,True,True,False,True,False,False,MICROBIOLOGY SPECTRUM,13,7,
10.2478/aoas-2025-0051,2024,False,True,True,False,True,True,False,False,False,True,True,True,False,ANNALS OF ANIMAL SCIENCE,,,
10.1007/s13726-025-01514-x,2024,False,False,True,False,False,False,False,False,False,True,False,False,False,IRANIAN POLYMER JOURNAL,,,
